shortName,name,averageDelay,passagesCount,latitude,longitude
2774,Radziszów Cmentarz (nż),2.090909090909091,11,49.9413,19.8065
2967,Michałowice Brzozowa (nż),3.6666666666666665,9,50.150015555555555,19.957386666666668
663,Bieżanów Szkoła,1.1737967914438503,374,50.01939333333333,20.0235
730,Pytlasińskiego,1.0210896309314588,569,49.98634333333333,19.940236388888888
2752,Glogera Granica Miasta (nż),2.9722222222222223,36,50.10429666666667,19.926413888888888
2814,Wieliczka Klaśnieńska (nż),4.285714285714286,7,49.9809,20.0554
2903,Jeziorzany Rondo (nż),2.8943661971830985,426,49.99388722222222,19.776083888888888
2991,Hala Sportowa Piaski Wielkie (nż),1.1818181818181819,11,50.00282722222222,19.986151666666668
3191,Petőfiego (nż),2.508,1500,50.0941525,20.035396666666667
3226,Ściejowice Kościel (nż),2.96875,32,49.998825277777776,19.779722222222222
597,Kostrze Kapliczka (nż),3.0297520661157025,605,50.02690861111111,19.844694722222222
85,Miasteczko Studenckie AGH,5.561565836298932,5620,50.069878055555556,19.904980833333333
1074,Węgrzce Centrum Medyczne (nż),2.7142857142857144,21,50.11676111111111,19.96804472222222
1357,Krzęcin Częsna (nż),4.714285714285714,7,49.9488,19.7305
2862,Wieliczka Kampus,2.5686274509803924,51,49.9862,20.0747
2977,Trojanowice Krakowska (nż),1.4,5,50.1373,19.913
3315,Świątniki Górne Skrzyżowanie (nż),2.375,48,49.93425888888889,19.967173333333335
35,Górka Narodowa,5.075,80,50.092729444444444,19.956261666666666
488,Węgrzynowice Centrum (nż),2.8333333333333335,6,50.11078,20.155338611111112
634,Wlotowa,6.441223404255319,3760,50.019064166666666,19.988147777777776
644,Podwierzbie,0.0,1,50.04747388888889,20.060445
742,Jugowicka,5.020539152759949,779,50.0075,19.930499444444443
973,Biały Kościół (nż),1.1666666666666667,6,50.168725,19.82635611111111
183,Trojanowice Strugi (nż),2.142857142857143,7,50.1346,19.9055
2642,Hektary (nż),1.4444444444444444,9,50.10971611111111,20.175601944444445
3126,Cmentarz Bieżanów,2.7449664429530203,745,50.01004833333333,20.023043055555554
868,Piekary Górne,1.7916666666666667,24,50.0183,19.7876
1303,Niepołomice Kościuszki (nż),4.25,12,50.0287,20.2057
3181,Skotniki Kościół,2.857142857142857,35,50.0088,19.8745
3279,Kamień Szkoła,0.8571428571428571,98,50.01497111111111,19.5867425
964,Niepołomice Kolejowa (nż),1.8,5,50.0442,20.2122
1004,Park Wodny,3.8114926419060966,4281,50.090125,19.98229111111111
2588,Geologów (nż),1.9692307692307693,65,49.98518222222222,19.978221666666666
2703,Pękowice,0.0,2,50.1247,19.9015
3118,Władysława Jagiełły,2.7708578143360754,1702,50.09502055555556,20.040119722222222
3300,Prusy,1.8461538461538463,13,50.110324722222224,20.081675555555556
71,Nowy Kleparz,4.957677070248333,10349,50.073750277777776,19.935915555555557
1133,Skawina 29 Listopada,3.263157894736842,19,49.9729,19.8345
1286,Wola Batorska Zamoglice (nż),1.6666666666666667,6,50.06416611111111,20.301954722222224
1371,Fort Winnica (nż),3.4492307692307693,325,50.022938333333336,19.865974722222223
2596,Łużycka (nż),4.835820895522388,67,50.00792111111111,19.974410555555554
2604,Łuczyńskiego (nż),3.4857142857142858,35,50.013106111111114,19.913335
276,Glinnik (nż),2.0008244023083264,1213,50.04689166666667,19.882899166666668
3272,Brzozówka Ośrodek,0.0,4,50.172,19.8982
3314,Włosań Centrum,1.0,2,49.9136,19.9029
749,Góra Borkowska (nż),3.3939891993425686,4259,50.00715638888889,19.925035833333332
98,Kuźnicy Kołłątajowskiej,4.122206095791001,3445,50.09771111111111,19.961718333333334
980,Będkowice Kawiory (nż),0.6666666666666666,6,50.1782,19.7611
223,Balice Instytut (nż),2.6666666666666665,6,50.083843888888886,19.78900388888889
2557,Lasek Mogilski,5.558386411889597,471,50.05495111111111,20.049555
458,Pleszów,-12.470588235294118,34,50.07279861111111,20.118421944444446
47,Pleszowska,3.932137663596704,2063,50.09193,19.935745555555556
629,Wola Duchacka,5.573702708290263,4837,50.02061583333333,19.95998722222222
2547,Sieroszewskiego (nż),5.570815450643777,466,50.066110555555554,20.051254444444446
110,Wiślicka,3.9986410405746455,5151,50.087691666666665,20.001416944444443
1185,Radziszów Zawodzie (nż),2.3902439024390243,164,49.9211,19.8074
1269,Maciejowice Góra (nż),0.8333333333333334,6,50.137,20.0702
1375,Fiszera,3.0,7,50.08547,19.896845833333334
3003,Marszowice Centrum (nż),1.5,4,50.18071583333333,20.093444722222223
3248,Zabierzów Eximius Park,15.5,2,50.106656944444445,19.82411111111111
554,Lesisko,3.738095238095238,42,50.05408666666667,20.04530972222222
565,Motyla,2.8333333333333335,6,50.03748083333333,19.997050833333333
892,Balice OSP (nż),1.5714285714285714,7,50.08671666666667,19.791132222222224
1191,Krzyszkowice Kościół (nż),6.375,16,49.988,20.0327
2640,Wróżenicka (nż),1.0,2,50.11228527777778,20.1782325
2776,Petrażyckiego (nż),4.753086419753086,81,49.981805,19.87899833333333
3176,Kurdwanów P+R,5.785329341317365,3340,50.0134975,19.949706388888888
785,Skawina Rzepnik,3.588342440801457,1098,49.9829,19.8373
1266,Wiktorowice Skrzyżowanie (nż),1.4,5,50.13231916666667,20.058310277777778
3276,Spławy,3.2857142857142856,7,50.09349916666667,20.146913055555554
3310,Mały Płaszów P+R,3.1137581893984514,1679,50.039790833333335,20.000576111111112
390,Os.Strusia,4.242462845010616,2355,50.08661111111111,20.009298333333334
1228,Przeginia Duchowna Bar (nż),1.5555555555555556,18,50.01911111111111,19.653055555555557
1278,Niepołomice Batorego (nż),1.5,4,50.04079388888889,20.22338138888889
214,Kochanów I (nż),7.0,12,50.116167777777775,19.76259361111111
3110,Władysława Łokietka,2.7280701754385963,114,50.08598805555555,19.92298361111111
527,Kąkolowa (nż),2.0,4,50.0514375,20.127354722222222
1260,Rusocice Jałowce (nż),2.8383838383838382,198,50.00212388888889,19.59140638888889
2871,TAURON Arena Kraków Al. Pokoju (nż),2.1363636363636362,22,50.064325,19.988890833333333
